Ronde,Pays,Buts,Tirs,Ratio
Carré d'as,Afrique du Sud,7,76,0.092105263
Phase de groupes,Algérie,3,47,0.063829787
Quart de finales,Angola,9,53,0.169811321
Huitièmes de finales,Burkina Faso,4,45,0.088888889
Huitièmes de finales,Cameroun,4,38,0.105263158
Quart de finales,Cap-Vert,8,75,0.106666667
Carré d'as,Côte d'Ivoire,8,97,0.082474227
Carré d'as,Congo,6,88,0.068181818
Huitièmes de finales,Égypte,7,69,0.101449275
Phase de groupes,Gambie,2,32,0.0625
Phase de groupes,Ghana,5,25,0.2
Quart de finales,Guinée,4,43,0.093023256
Phase de groupes,Guinée-Bissau,1,35,0.028571429
Huitièmes de finales,Guinée Équatoriale,9,30,0.3
Quart de finales,Mali,5,63,0.079365079
Huitièmes de finales,Maroc,5,57,0.087719298
Huitièmes de finales,Mauritanie,3,51,0.058823529
Phase de groupes,Mozambique,4,27,0.148148148
Huitièmes de finales,Namibie,1,33,0.03030303
Carré d'as,Nigeria,7,81,0.086419753
Huitièmes de finales,Sénégal,9,41,0.219512195
Phase de groupes,Tanzanie,1,12,0.083333333
Phase de groupes,Tunisie,1,26,0.038461538
Phase de groupes,Zambie,2,25,0.08
