Pays,Tirs_reçus,Buts_alloues,Buts_marques,Ronde
Afrique du Sud,22,3,7,Carré d'as
Algerie,9,4,3,Phase de groupes
Angola,16,4,9,Quart de finales
Burkina Faso,18,6,4,Huitièmes de finales
Cameroun,16,8,4,Huitièmes de finales
Cap-Vert,16,3,8,Quart de finales
Côte d'Ivoire,18,8,8,Carré d'as
Congo,14,5,6,Carré d'as
Égypte,9,7,7,Huitièmes de finales
Gambie,14,7,2,Phase de groupes
Ghana,13,6,5,Phase de groupes
Guinée,6,6,4,Quart de finales
Guinée-Bissau,12,7,1,Phase de groupes
Guinée Équatoriale,17,4,9,Huitièmes de finales
Mali,14,4,5,Quart de finales
Maroc,7,3,5,Huitièmes de finales
Mauritanie,18,5,3,Huitièmes de finales
Mozambique,11,7,4,Phase de groupes
Namibie,17,7,1,Huitièmes de finales
Nigeria,22,4,7,Carré d'as
Sénégal,7,2,9,Huitièmes de finales
Tanzanie,14,4,1,Phase de groupes
Tunisie,7,2,1,Phase de groupes
Zambie,14,3,2,Phase de groupes
